Item,Bay Area Price,Central Valley Price,"Nutrition Info 
(same for both)",Food Group,,AVERAGES,Bay Area,Central Valley
"Great Value Large White Eggs, 12 count",$1.67,$1.47,"Calories per serving = 70
Total fat = 5g
Cholersterol = 185mg
Sodium = 70mg
Total Corbohydrate = 0g
Protein = 6g",Dairy,,Average Dairy prices,$2.89,$2.88
"Great Value Milk (2%, gallon)",$3.00,$3.13,"Calories per serving = 130
Total fat = 5g
Cholersterol = 30mg
Sodium = 120mg
Total Corbohydrate = 12g
Protein = 8g",Dairy,,Average Grain/Carbs prices,$2.04,$2.81
Great Value Cheddar Sharp Cheese (16 oz),$3.58,$3.58,"Calories per serving = 110
Total fat = 9g
Cholersterol = 30mg
Sodium = 180mg
Total Corbohydrate = <1g
Protein = 7g",Dairy,,Average Protein Prices,$4.06,$3.88
Great Value Plain Yogurt (32 oz),$2.76,$2.76,"Calories per serving = 80
Total fat = 0g
Cholersterol = <5mg
Sodium = 110mg
Total Corbohydrate = 11g
Protein = 8g",Dairy,,Average Produce Prices,$1.47,$1.47
Great Value Unsalted Butter (16 oz),$3.44,$3.44,"Calories per serving = 100
Total fat = 11g
Cholersterol = 30mg
Sodium = 0mg
Total Corbohydrate = 0g
Protein = 0g",Dairy,,Average Seasoning/Condiment Prices,$3.02,$2.80
Great Value Long Grain Enriched Rice (5 lb),$3.52,$3.37,"Calories per serving = 160
Total fat = 0g
Cholersterol = 0mg
Sodium = 0mg
Total Corbohydrate = 36g
Protein = 3g",Grains/Carbs,,,,
Great Value Instant White Rice (42 oz),$3.98,$3.98,"Calories per serving = 170
Total fat = 0g
Cholersterol = 0mg
Sodium = 0mg
Total Corbohydrate = 37g
Protein = 4g",Grains/Carbs,,,,
Great Value Spaghetti (16 oz),$0.98,$0.98,"Calories per serving = 200
Total fat = 1g
Cholersterol = 0mg
Sodium = 0mg
Total Corbohydrate = 42g
Protein = 7g",Grains/Carbs,,,,
Great Value Half-Length Spaghetti (16 oz),$0.98,$0.98,"Calories per serving = 200
Total fat = 1g
Cholersterol = 0mg
Sodium = 0mg
Total Corbohydrate = 42g
Protein = 7g",Grains/Carbs,,,,
Great Value Rotini (16 oz),$0.98,$0.98,"Calories per serving = 200
Total fat = 1g
Cholersterol = 0mg
Sodium = 0mg
Total Corbohydrate = 42g
Protein = 7g",Grains/Carbs,,,,
Great Value White Sandwich Bread (20 oz),$1.63,$1.48,"Calories per serving = 120
Total fat = 1.5g
Cholersterol = 0mg
Sodium = 220mg
Total Corbohydrate = 24g
Protein = 4g",Grains/Carbs,,,,
Great Value Corn Flakes,$2.24,$2.24,"Calories per serving = 110
Total fat = 0g
Cholersterol = 0mg
Sodium = 170mg
Total Corbohydrate = 26g
Protein = 2g",Grains/Carbs,,,,
Great Value Diced Tomatoes with green peppers & Celery (14.5 oz),$0.96,$0.96,"Calories per serving = 25
Total fat = 0g
Cholersterol = 0mg
Sodium = 180mg
Total Corbohydrate = 6g
Protein = 1g",Produce,,,,
Great Value Italian-Style Stewed Tomatoes (14.5 oz),$0.96,$0.96,"Calories per serving = 30
Total fat = 0g
Cholersterol = 0mg
Sodium = 250mg
Total Corbohydrate = 7g
Protein = 1g",Produce,,,,
"Great Value Peas & Carrots (Frozen, 12 oz)",$0.98,$0.98,"Calories per serving = 50
Total fat = 0g
Cholersterol = 0mg
Sodium = 55mg
Total Corbohydrate = 9g
Protein = 2g",Produce,,,,
Great Value Frozen broccoli Stir Fry w/ Mixed Vegetables (20 oz),$2.72,$2.72,"Calories per serving = 35
Total fat = 0g
Cholersterol = 0mg
Sodium = 15mg
Total Corbohydrate = 7g
Protein = 2g",Produce,,,,
Great Value Fruit Cocktail (15 oz),$1.72,$1.72,"Calories per serving = 60
Total fat = 0g
Cholersterol = 0mg
Sodium = 0mg
Total Corbohydrate = 16g
Protein = 0g",Produce,,,,
Bananas,$0.06 per banana,$0.20 per banana,"Calories per serving = 110
Total fat = 0g
Cholersterol = 0mg
Sodium = 0mg
Total Corbohydrate = 28g
Protein = 1g",Produce,,,,
Great Value Salsa Mild (16 oz),$1.97,$1.97,"Calories per serving = 10
Total fat = 0g
Cholersterol = 0mg
Sodium = 230mg
Total Corbohydrate = 2g
Protein = 0g",Produce,,,,
Great Value Frozen Grilled Chicken (16 oz),$6.48,$6.48,"Calories per serving = 120
Total fat = 4g
Cholersterol = 55mg
Sodium = 630mg
Total Corbohydrate = 2g
Protein = 18g",Protein,,,,
Great Value Peanut Butter (16 oz),$1.98,$1.98,"Calories per serving = 180
Total fat = 15g
Cholersterol = 0mg
Sodium = 135mg
Total Corbohydrate = 8g
Protein = 7g",Protein,,,,
Great Value Black beans (15 oz),$0.86,$0.86,"Calories per serving = 120
Total fat = 0g
Cholersterol = 0mg
Sodium = 130mg
Total Corbohydrate = 11g
Protein = 8g",Protein,,,,
Great Value Pinto beans (15.5 oz),$0.92,$0.92,"Calories per serving = 110
Total fat = 0.5g
Cholersterol = 0mg
Sodium = 130mg
Total Corbohydrate = 20g
Protein = 6g",Protein,,,,
Great Value Chicken broth (32 oz),$1.64,$1.27,"Calories per serving = 10
Total fat = 0g
Cholersterol = 0mg
Sodium = 830mg
Total Corbohydrate = 0g
Protein = 1g",Protein,,,,
Great Value Vegetable Oil (48 oz),$4.37,$3.93,"Calories per serving = 120
Total fat = 14g
Cholersterol = 0mg
Sodium = 0mg
Total Corbohydrate = 0g
Protein = 0g",Seasonings/Condiments,,,,
Great Value Grape Jelly (18 oz),$1.98,$1.98,"Calories per serving = 50
Total fat = 0g
Cholersterol = 0mg
Sodium = 5mg
Total Corbohydrate = 13g
Protein = 0g",Seasonings/Condiments,,,,
Great Value Iodized Salt (26 oz),$0.84,$0.84,"Calories per serving = 0
Total fat = 0g
Cholersterol = 0mg
Sodium = 590mg
Total Corbohydrate = 0g
Protein = 0g",Seasonings/Condiments,,,,
Great Value Black Pepper (3 oz),$3.66,$3.66,"Calories per serving = 6
Total fat = 0g
Cholersterol = 0mg
Sodium = <1mg
Total Corbohydrate = 0g
Protein = <1g",Seasonings/Condiments,,,,
Great Value Granulated Sugar (4 lb),$2.97,$2.97,"Calories per serving = 30
Total fat = 0g
Cholersterol = 0mg
Sodium = 0mg
Total Corbohydrate = 8g
Protein = 0g",Seasonings/Condiments,,,,
Great Value White Vinegar (32 fl oz),$1.76,$1.76,"Calories per serving = 0
Total fat = 0g
Cholersterol = 0mg
Sodium = 0mg
Total Corbohydrate = 0g
Protein = ?g",Seasonings/Condiments,,,,
Great Value Garlic Powder (3.4 oz),$1.13,$1.13,"Calories per serving = 10
Total fat = 0.02g
Cholersterol = 0mg
Sodium = 1.5mg
Total Corbohydrate = 2g
Protein = 0.5g",Seasonings/Condiments,,,,
Great Value Onion Powder (3.25 oz),$1.13,$1.13,"Calories per serving = 10
Total fat = 0g
Cholersterol = 0mg
Sodium = 3.5mg
Total Corbohydrate = 2g
Protein = 0.2g",Seasonings/Condiments,,,,
Great Value Italian Seasoning (0.95 oz),$1.13,$1.13,"Calories per serving = 10
Total fat = 1g
Cholersterol = 0mg
Sodium = 2mg
Total Corbohydrate = 2g
Protein = 1g",Seasonings/Condiments,,,,
Great Value Mayonnaise (15 fl oz),$2.12,$2.12,"Calories per serving = 90
Total fat = 10g
Cholersterol = 10mg
Sodium = 75mg
Total Corbohydrate = 0g
Protein = 0g",Seasonings/Condiments,,,,
Great Value Ketchup (32 oz),$1.97,$1.97,"Calories per serving = 20
Total fat = 0g
Cholersterol = 0mg
Sodium = 160mg
Total Corbohydrate = 5g
Protein = 0g",Seasonings/Condiments,,,,
Great Value Mustard (20 oz),$0.98,$0.98,"Calories per serving = 0
Total fat = 0g
Cholersterol = 0mg
Sodium = 60mg
Total Corbohydrate = 0g
Protein = 0g",Seasonings/Condiments,,,,
Great Value Soy Sauce (15 oz),$1.66,$1.66,"Calories per serving = 5
Total fat = 0g
Cholersterol = 0mg
Sodium = 900mg
Total Corbohydrate = 1g
Protein = 1g",Seasonings/Condiments,,,,
AVERAGE,$2.11,$2.09,,,,,,